KGAS_ID,SURVEY,redshift,ba,sersic_n,Re_arcsec,Re_kpc
34,MANGA,0.02680828794836998,0.5598315000534058,3.3821699619293213,3.1874709129333496,1.7174381708351067
35,MANGA,0.02774660475552082,0.5899001359939575,1.2414100170135498,6.094013214111328,3.394603533659603
36,MANGA,0.027770627290010452,0.7904354929924011,1.2910555601119995,8.917210578918457,4.971391800215333
37,MANGA,0.0292764063924551,0.4169921278953552,1.1457366943359375,10.421850204467773,6.114208205724498
38,MANGA,0.024034028872847557,0.6924086809158325,2.378159761428833,3.7566094398498535,1.8207022491451545
39,MANGA,0.027469925582408905,0.6759735345840454,4.584354400634766,4.573125839233398,2.52284693586621
40,MANGA,0.025480585172772408,0.9262133240699768,5.207958698272705,3.5487141609191895,1.8202878130743758
41,MANGA,0.029654763638973236,0.8872143030166626,1.4824150800704956,10.628418922424316,6.31311172001458
42,MANGA,0.02410564012825489,0.42040470242500305,1.0033669471740723,6.101637840270996,2.9658140931411974
43,MANGA,0.02737029455602169,0.8649541735649109,5.18917989730835,5.263740539550781,2.893651557648112
44,MANGA,0.023995598778128624,0.736571729183197,6.0,6.601630210876465,3.194619968610512
45,MANGA,0.027691012248396873,0.6377636194229126,4.846138954162598,3.07375431060791,1.7088849440289484
46,MANGA,0.026083780452609062,0.8709232807159424,1.9017695188522339,5.576262950897217,2.9258908801577386
47,MANGA,0.024327389895915985,0.9416854381561279,6.0,2.6279218196868896,1.2887561513335706
48,MANGA,0.037743452936410904,0.6951108574867249,4.384400367736816,1.5273810625076294,1.1435722056993853
49,MANGA,0.038793858140707016,0.5722032785415649,0.5983883738517761,4.134138107299805,3.1774447141116196
50,MANGA,0.038031335920095444,0.6049749851226807,1.4266382455825806,4.815979957580566,3.6320476836708915
51,MANGA,0.036920588463544846,0.508370041847229,1.6765694618225098,2.945519208908081,2.1593938403293436
52,MANGA,0.03835747763514519,0.7109313011169434,2.045997142791748,1.9274876117706299,1.4655405888166602
53,MANGA,0.03855422884225845,0.3719210922718048,0.9596149921417236,4.427996635437012,3.383245697142271
54,MANGA,0.04636131227016449,0.5272146463394165,2.0758631229400635,3.656785726547241,3.3286916260333643
55,MANGA,0.04530554264783859,0.3032746911048889,6.0,10.166945457458496,9.055339450287507
56,MANGA,0.04483092948794365,0.6173432469367981,1.7411447763442993,3.9554526805877686,3.4880425453674366
57,MANGA,0.04655063524842262,0.8737807273864746,3.648594617843628,1.8144627809524536,1.658037663404637
58,MANGA,0.04785718768835068,0.2898878753185272,1.1829417943954468,10.150067329406738,9.520581742185666
59,MANGA,0.04911255091428757,0.6419271230697632,1.7764812707901,5.5102338790893555,5.296189415926811
60,MANGA,0.047566138207912445,0.9400166273117065,1.6432520151138306,3.099254846572876,2.8903638242784306
61,MANGA,0.04762199893593788,0.9033764600753784,6.0,10.669190406799316,9.961107730599327
62,MANGA,0.046202003955841064,0.6156584024429321,1.234231948852539,3.37672758102417,3.0637781641897166
63,MANGA,0.027062280103564262,0.45833373069763184,1.5957611799240112,5.3884196281433105,2.929941385770508
64,MANGA,0.027182266116142273,0.4206426441669464,1.423682689666748,4.883622646331787,2.666847824097734
65,MANGA,0.026378847658634186,0.43420955538749695,2.6905839443206787,7.010922908782959,3.718957075996507
66,MANGA,0.027651656419038773,0.7213563919067383,2.734229564666748,7.35941743850708,4.085921102824551
67,MANGA,0.026000414043664932,0.6714028120040894,1.779006004333496,9.126755714416504,4.774024066604142
68,MANGA,0.03692121431231499,0.6219486594200134,2.8870997428894043,5.841792106628418,4.28275404087037
69,MANGA,0.03761691972613335,0.9635915160179138,3.9315743446350098,5.3269944190979,3.9756271818971274
70,MANGA,0.0372597761452198,0.7577478289604187,2.357976198196411,10.22403335571289,7.561151102938132
71,MANGA,0.03766569495201111,0.8180590867996216,6.0,6.931700229644775,5.179652713306001
72,MANGA,0.03884199261665344,0.8215281963348389,4.850310802459717,6.609387397766113,5.085899979425962
73,MANGA,0.03647712990641594,0.5544285178184509,5.385532379150391,6.705754280090332,4.859591907998233
74,MANGA,0.036675747483968735,0.8639664053916931,2.866917848587036,6.251216888427734,4.553779215914245
75,MANGA,0.03645943105220795,0.9443646669387817,6.0,8.919903755187988,6.461163726978687
76,MANGA,0.037069980055093765,0.7766340970993042,3.2594361305236816,6.615885257720947,4.868937434078787
77,MANGA,0.04025127738714218,0.9315037131309509,1.2196375131607056,6.352264881134033,5.056889217736459
78,MANGA,0.03195388242602348,0.6689631938934326,6.0,2.7716033458709717,1.769038573330209
79,SAMI,0.02947,0.6672533,7.3278,11.956065,7.059030883129423
80,SAMI,0.03161,0.71048608,1.814,2.260529,1.427894773790832
81,SAMI,0.03105,0.49098134000000004,0.6937,3.0825427,1.9139208199596318
82,MANGA,0.03003023751080036,0.6327282786369324,1.493304967880249,9.358865737915039,5.626866289175016
83,SAMI,0.03,0.19187765999999995,0.9948,9.689639,5.820083612969854
84,MANGA,0.0293484665453434,0.30575138330459595,0.8732003569602966,7.854719638824463,4.619087129929707
85,SAMI,0.02884,0.41325500000000004,1.0168,13.403785,7.750468492485474
86,MANGA,0.02918241173028946,0.7794457077980042,1.2516793012619019,4.9821882247924805,2.913855160842742
87,MANGA,0.028775149956345558,0.8495801687240601,5.823894023895264,3.5351145267486572,2.0396711786746855
88,SAMI,0.03012,0.60456428,1.2582,10.886162,6.5639850922924605
89,SAMI,0.02955,0.5520166799999999,2.1612,3.4189477,2.0238806971444827
90,SAMI,0.02994,0.88849637,2.0742,3.8651097,2.317102617091041
91,SAMI,0.02926,0.70233753,5.0848,3.8520856,2.2586890000670476
