name,ID,Z
manga-12684-1901,1-212813,0.05243999883532524
manga-10511-12704,1-213726,0.05894999951124191
manga-10511-3702,1-213739,0.035429999232292175
manga-9511-12702,1-213815,0.05031999945640564
manga-9511-3703,1-213825,0.04749000072479248
manga-10840-12702,1-214169,0.03393999859690666
manga-10511-6102,1-214291,0.0597199983894825
manga-8086-3703,1-229064,0.025350000709295273
manga-8086-3702,1-229070,0.025469999760389328
manga-12512-3702,1-245,0.03618000075221062
manga-11759-6102,1-277,0.048920001834630966
manga-12512-1901,1-286,0.026809999719262123
manga-8616-6103,1-289864,0.04961000010371208
manga-8615-12703,1-289865,0.05249999836087227
manga-11759-12703,1-296,0.020080000162124634
manga-10216-3703,1-297825,0.046549998223781586
manga-10216-6104,1-297854,0.047860000282526016
manga-10216-1902,1-297863,0.04521999880671501
manga-9492-1901,1-297902,0.04575999826192856
manga-10216-3702,1-297905,0.04523000121116638
manga-10216-1901,1-297909,0.04627000167965889
manga-10216-9102,1-297970,0.05201999843120575
manga-10216-6103,1-297986,0.04619999974966049
manga-9492-3701,1-297987,0.046069998294115067
manga-12078-3701,1-35334,0.022290000692009926
manga-12078-1902,1-35371,0.02232999913394451
manga-12078-3704,1-35530,0.023269999772310257
manga-10223-1902,1-35957,0.020010000094771385
manga-10226-3703,1-36392,0.020010000094771385
manga-8077-12701,1-36645,0.04397999867796898
manga-11022-3702,1-368248,0.029179999604821205
manga-8153-3703,1-36847,0.028279999271035194
manga-8077-12702,1-36849,0.027310000732541084
manga-8079-3704,1-36854,0.02249000035226345
manga-8154-9101,1-36867,0.043310001492500305
manga-8078-9102,1-36878,0.023189999163150787
manga-11824-9102,1-368846,0.035840000957250595
manga-8078-3704,1-36892,0.023070000112056732
manga-8078-3701,1-36899,0.02442000061273575
manga-8079-12702,1-36927,0.021980000659823418
manga-8077-3703,1-36942,0.04487000033259392
manga-8079-3701,1-36975,0.044319998472929
manga-8077-12704,1-37018,0.02450999990105629
manga-8077-3704,1-37068,0.02466999925673008
manga-8154-3701,1-37126,0.04351000115275383
manga-9193-9101,1-37385,0.04506000131368637
manga-9192-6104,1-37407,0.027529999613761902
manga-9192-6101,1-37415,0.02879999950528145
manga-9192-1901,1-37421,0.031550001353025436
manga-8154-1902,1-37478,0.02824000082910061
manga-9194-12705,1-37796,0.04227999970316887
manga-8080-6101,1-37908,0.026419999077916145
manga-8083-6102,1-37995,0.036479998379945755
